ID,Property Title,Description,text_input,number_of_people,bedrooms,pets_allowed,property_size,shared_spaces,bathroom_type,nearby_amenities,unique_features
815,Room for a UBC student.,"Wifi , laundry and utilities included. Separate entrance.","Room for a UBC student.. Wifi , laundry and utilities included. Separate entrance.",unknown,unknown,unknown,unknown, unknown,unknown,"bus, store","Wifi, laundry"
819,"Simple, modern apartment in central location with many nearby amenities","Twin bedroom with desk, drawers and closet space.  Personal bathroom.  Comfortable common area with a tv and a modern kitchen.","Simple, modern apartment in central location with many nearby amenities. Twin bedroom with desk, drawers and closet space.  Personal bathroom.  Comfortable common area with a tv and a modern kitchen.",1,1,unknown,unknown,common area,private,"bus, store, recreation centre/pool","modern kitchen; twin bedroom with desk, drawers and closet space"
820,View of English Bay from your Queen Sized Bed!,"Fully furnished bedroom with view in the heart of Vancouver's West End/Lost Lagoon. Crazy quiet but within 4 minute walk of shops, restaurants, beach and library! Close to transit, Evo options and 
Stanley Park. My place includes wifi and cable tv, and has laundry in the building and a locked bike-room in the basement. 

You'll share with me only, and have the option of sharing meals (ideal if you don't like cooking, too busy working or studying, or simply prefer to not deal with meal planning and grocery shopping!).  

Looking for an easygoing, tidy roomie. Would be perfect for a student or someone travelling! The perfect roommate would not need to be fastidious about cleaning but be organized and someone that always cleans up after themselves as I am the same way.

At this time am preferring a roomie that will stay until February 2022 at least, possibly until the end of the school year. Feel free to reach out though and we can discuss.

Please note:
If you have a vehicle you will need to purchase a West End parking pass in order to park in the area. I do not have a parking spot within the building unfortunately.

 Hope to hear from you!","View of English Bay from your Queen Sized Bed!. Fully furnished bedroom with view in the heart of Vancouver's West End/Lost Lagoon. Crazy quiet but within 4 minute walk of shops, restaurants, beach and library! Close to transit, Evo options and 
Stanley Park. My place includes wifi and cable tv, and has laundry in the building and a locked bike-room in the basement. 

You'll share with me only, and have the option of sharing meals (ideal if you don't like cooking, too busy working or studying, or simply prefer to not deal with meal planning and grocery shopping!).  

Looking for an easygoing, tidy roomie. Would be perfect for a student or someone travelling! The perfect roommate would not need to be fastidious about cleaning but be organized and someone that always cleans up after themselves as I am the same way.

At this time am preferring a roomie that will stay until February 2022 at least, possibly until the end of the school year. Feel free to reach out though and we can discuss.

Please note:
If you have a vehicle you will need to purchase a West End parking pass in order to park in the area. I do not have a parking spot within the building unfortunately.

 Hope to hear from you!",1,1,unknown,unknown,"living room, kitchen",private,"shops, restaurants, beach, library, transit, Evo options, Stanley Park","view of English Bay, wifi, cable tv, laundry in the building, locked bike-room in the basement"
834,Clean Bedroom convenient location,"Clean bedroom , we don’t have kids and both are easy going. We like Dining out as this is our simple pleasures in life. We are quite couple and easy to deal with.","Clean Bedroom convenient location. Clean bedroom , we don’t have kids and both are easy going. We like Dining out as this is our simple pleasures in life. We are quite couple and easy to deal with.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
860,Clean Bedroom with a Family,"Our centrally located,  older Glenmore home backs onto the golf course so it is like living in the country.   We believe we live in the best neighborhood in Kelowna!  We have one active daughter living at home and 2 older boys who now live in their own homes.  In the past we have hosted students and athletes.  We enjoyed befriending them, learning their family customs and sharing our lives with them.","Clean Bedroom with a Family. Our centrally located,  older Glenmore home backs onto the golf course so it is like living in the country.   We believe we live in the best neighborhood in Kelowna!  We have one active daughter living at home and 2 older boys who now live in their own homes.  In the past we have hosted students and athletes.  We enjoyed befriending them, learning their family customs and sharing our lives with them.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"centrally located, older, backs onto the golf course, best neighborhood in Kelowna"
867,Furnished room near UBCO,"Contract can be extended to longer date and I am flexible with move-in and move-out dates. Room includes electricity, heating, water, internet and laundry. A block away from bus to UBCO. Walking distance to YMCA Rutland. This room is ideal for a UBCO student. Parking space inside the property.","Furnished room near UBCO. Contract can be extended to longer date and I am flexible with move-in and move-out dates. Room includes electricity, heating, water, internet and laundry. A block away from bus to UBCO. Walking distance to YMCA Rutland. This room is ideal for a UBCO student. Parking space inside the property.",unknown,1,unknown,unknown,unknown,unknown,"bus, YMCA Rutland","furnished, electricity, heating, water, internet, laundry, parking space inside the property"
872,Clean bedroom & living area in the Rutland area,"Available for January 1, 2022
Quiet townhouse neighbourhood
No other persons living in home
1 block from #8 bus route on Rutland Rd that travels to UBC-O
Large room in lower level of home
Partially furnished with King size bed & bedding, 2 night tables, large mirror & 2 lamps
Space to bring in own items such as dresser, desk& chair, small tv, small couch visit, coffee table, area rug
Landlord has a 10 year old friendly cat","Clean bedroom & living area in the Rutland area. Available for January 1, 2022
Quiet townhouse neighbourhood
No other persons living in home
1 block from #8 bus route on Rutland Rd that travels to UBC-O
Large room in lower level of home
Partially furnished with King size bed & bedding, 2 night tables, large mirror & 2 lamps
Space to bring in own items such as dresser, desk& chair, small tv, small couch visit, coffee table, area rug
Landlord has a 10 year old friendly cat",1,unknown,true,large,unknown,unknown,"bus, store","King size bed & bedding, 2 night tables, large mirror & 2 lamps; space for own items such as dresser, desk& chair, small tv, small couch visit, coffee table, area rug"
874,Fully furnished room with private half-bathroom,"Large room that is fully furnished
-Queen bed (bedding included)
-2 dressers 
-Bedside table
-large closet
-Private toilet
-Shower is in the hallway bathroom

Included in the house:
-Full size kitchen
-Washer and dryer
-Wifi
-Cable in living room shared by all renters
-Back deck that includes BBQ and furniture
-Cleaning services twice a month in common areas. 

House is shared by 2 young adult male renters. They both work full time and have been great renters. There is a cat inside, a dog outside that is friendly, and a few cows that graze in the back field. 

*I am looking for a long term renter. Short term renters will be considered but long term will be given priority. 

If you are interested, feel free to send me a message that includes some details about yourself. Such as, occupation, hobbies, how long you are looking to stay, and any questions you have about the property.","Fully furnished room with private half-bathroom. Large room that is fully furnished
-Queen bed (bedding included)
-2 dressers 
-Bedside table
-large closet
-Private toilet
-Shower is in the hallway bathroom

Included in the house:
-Full size kitchen
-Washer and dryer
-Wifi
-Cable in living room shared by all renters
-Back deck that includes BBQ and furniture
-Cleaning services twice a month in common areas. 

House is shared by 2 young adult male renters. They both work full time and have been great renters. There is a cat inside, a dog outside that is friendly, and a few cows that graze in the back field. 

*I am looking for a long term renter. Short term renters will be considered but long term will be given priority. 

If you are interested, feel free to send me a message that includes some details about yourself. Such as, occupation, hobbies, how long you are looking to stay, and any questions you have about the property.",2,unknown,true,large,"living room, kitchen, back deck",private,unknown,"full size kitchen, washer and dryer, wifi, cable in living room, cleaning services twice a month, BBQ and furniture on back deck"
875,Small suite near Hospital and downtown,"I have a small suite with a private entrance, bedroom, bathroom, TV and mini kitchen. There is a shared washer, dryer and dishwasher, and a shared kitchen. I live in the front of the house and have a home office. I create exhibits and often listen to music while I work. I have lived in shared spaces in the past so I am mindful of other people's privacy and work/sleep schedules. This place would be ideal for a single person who works downtown or the hospital, or for a student, or someone who wants a central location to live. I have allergies to animal dander so I am not encouraging pets. I may be able to rent for longer, but not sure at this point.","Small suite near Hospital and downtown. I have a small suite with a private entrance, bedroom, bathroom, TV and mini kitchen. There is a shared washer, dryer and dishwasher, and a shared kitchen. I live in the front of the house and have a home office. I create exhibits and often listen to music while I work. I have lived in shared spaces in the past so I am mindful of other people's privacy and work/sleep schedules. This place would be ideal for a single person who works downtown or the hospital, or for a student, or someone who wants a central location to live. I have allergies to animal dander so I am not encouraging pets. I may be able to rent for longer, but not sure at this point.",unknown,1,false,small,"kitchen, washer, dryer, dishwasher",private,"hospital, downtown",home office
892,Room in Rutland near UBCO,"Available Oct. 01 to Dec.31. Single occupancy. Furnished room. Quiet house. Shared kitchen. Monthly rent includes electricity, WIFI, water and laundry. House is located a block away from bus station to UBCO. 8 min. bus to UBCO. A few blocks away from YMCA-Rutland. When applying kindly provide a description about yourself.","Room in Rutland near UBCO. Available Oct. 01 to Dec.31. Single occupancy. Furnished room. Quiet house. Shared kitchen. Monthly rent includes electricity, WIFI, water and laundry. House is located a block away from bus station to UBCO. 8 min. bus to UBCO. A few blocks away from YMCA-Rutland. When applying kindly provide a description about yourself.",1,unknown,unknown,medium,kitchen,unknown,"bus, store, recreation centre/pool, school","furnished room, electric, WIFI, water and laundry included"
894,Clean room in Rutland (2),"Available December 1, 2021.  Room available has single bed, custom built in desk, closet & drawers.  Rec room with fireplace would be for your tv viewing.  Shared kitchen & laundry facilities.  Quiet neighborhood and close to amenities. Any guest that comes to stay must be vaccinated against Covid and must be onboard and follow the Provincial Health Recommendations.","Clean room in Rutland (2). Available December 1, 2021.  Room available has single bed, custom built in desk, closet & drawers.  Rec room with fireplace would be for your tv viewing.  Shared kitchen & laundry facilities.  Quiet neighborhood and close to amenities. Any guest that comes to stay must be vaccinated against Covid and must be onboard and follow the Provincial Health Recommendations.",2,unknown,unknown,unknown,rec room; kitchen & laundry facilities,unknown,"bus, store, recreation centre/pool, school and university",custom built in desk; fireplace
901,Room near UBCO,"Room price includes WiFi, electricity,  water and laundry. Parking available inside the yard. Walking distance to the bus station. A few blocks from YMCA Rutland. I am flexible with move-in and move out dates.","Room near UBCO. Room price includes WiFi, electricity,  water and laundry. Parking available inside the yard. Walking distance to the bus station. A few blocks from YMCA Rutland. I am flexible with move-in and move out dates.",unknown,unknown,unknown,unknown,unknown,unknown,"bus, YMCA Rutland","WiFi, electricity, water, laundry, parking inside the yard"
915,Bedroom by the Beach,2-floor hybrid condominium/townhouse along Marine Drive. Spacious 2nd floor bedroom and private bathroom dedicated for the guest. Shared kitchen with laundry included!,Bedroom by the Beach. 2-floor hybrid condominium/townhouse along Marine Drive. Spacious 2nd floor bedroom and private bathroom dedicated for the guest. Shared kitchen with laundry included!,unknown,1,unknown,unknown,kitchen,private,unknown,none
957,Bedroom in Springvalley,Quiet home in a friendly Rutland neighbourhood.  5 minute walk to three bus stops.  Two feline roommates.  Large backyard with sunny deck. Wifi included.,Bedroom in Springvalley. Quiet home in a friendly Rutland neighbourhood.  5 minute walk to three bus stops.  Two feline roommates.  Large backyard with sunny deck. Wifi included.,1,1,true,unknown,unknown,unknown,"bus, unknown","large backyard, sunny deck, wifi"
958,Private bedroom and shared bathroom and laundry (2),"Upper 3 bedroom suite in a 7 bedroom home.  The downstairs is rented out separately and my husband and I rent the upstairs portion of the home.  We do connect with our downstairs neighbours and have games nights and visit sometimes. 

My husband and I are a newly married couple in our early 30s.  My husband works for Kelowna Ready Mix as a concrete mixer driver and crane operator and I contract work and study at Okanagan College.  We enjoy the outdoors and community.  Our home typically has some kind of company over at least once a week at the moment enjoying games, my husbands cooking or just visiting.  My husband really enjoys cooking meat treats and other goodies on his Traeger BBQ smoker.

There are bus stops, Okanagan College, Kelowna General Hospital, grocery shopping, beach and restaurants within walking distance of our rental.  Our landlords are very kind and laid back and we have a good relationship with them.  The home has parking, a large shared back yard, shared laundry, large shared kitchen and private bedroom and guest bedroom for our friends and family when/if they visit.  The downstairs unit only shares the back yard and internet with us.

We are looking for someone good with people being around and is okay being independent.  My husband and I have fairly active and busy lives.  Introverts work great too as your room will always be your private space.

This room is only available Jan 1 to May 1, 2022.  We are looking to extend our lease with our landlords and if they allows the extension then we would be open to a guest extension to May 31.  We will not know this until the new year.

Roommates are responsible for their own groceries, laundry detergent and extras.

Roommates will be responsible to helping clean the shared space.  We can discuss what this would look like as well as other details in a phone interview if this looks like it could be a good host/guest match.","Private bedroom and shared bathroom and laundry (2). Upper 3 bedroom suite in a 7 bedroom home.  The downstairs is rented out separately and my husband and I rent the upstairs portion of the home.  We do connect with our downstairs neighbours and have games nights and visit sometimes. 

My husband and I are a newly married couple in our early 30s.  My husband works for Kelowna Ready Mix as a concrete mixer driver and crane operator and I contract work and study at Okanagan College.  We enjoy the outdoors and community.  Our home typically has some kind of company over at least once a week at the moment enjoying games, my husbands cooking or just visiting.  My husband really enjoys cooking meat treats and other goodies on his Traeger BBQ smoker.

There are bus stops, Okanagan College, Kelowna General Hospital, grocery shopping, beach and restaurants within walking distance of our rental.  Our landlords are very kind and laid back and we have a good relationship with them.  The home has parking, a large shared back yard, shared laundry, large shared kitchen and private bedroom and guest bedroom for our friends and family when/if they visit.  The downstairs unit only shares the back yard and internet with us.

We are looking for someone good with people being around and is okay being independent.  My husband and I have fairly active and busy lives.  Introverts work great too as your room will always be your private space.

This room is only available Jan 1 to May 1, 2022.  We are looking to extend our lease with our landlords and if they allows the extension then we would be open to a guest extension to May 31.  We will not know this until the new year.

Roommates are responsible for their own groceries, laundry detergent and extras.

Roommates will be responsible to helping clean the shared space.  We can discuss what this would look like as well as other details in a phone interview if this looks like it could be a good host/guest match.",2,1,unknown,medium,"large shared back yard, shared laundry, large shared kitchen, private bedroom and guest bedroom",shared,"bus stops, Okanagan College, Kelowna General Hospital, grocery shopping, beach and restaurants","private bedroom, Traeger BBQ smoker, good relationship with landlords"
959,Bedroom and bathroom in condo near downtown Calgary,"I live in an apartment style condo in the Beltline community in Calgary, very close to downtown as well as 4st SW and 17th Ave SW.. I'm renting out the spare bedroom as well as exclusive use of one of the bathrooms. The condo has a fairly large living room with a wood-burning fireplace. The kitchen is small and has not been updated. There is a park directly across the road as well as restaurants and a modern food court within a block.","Bedroom and bathroom in condo near downtown Calgary. I live in an apartment style condo in the Beltline community in Calgary, very close to downtown as well as 4st SW and 17th Ave SW.. I'm renting out the spare bedroom as well as exclusive use of one of the bathrooms. The condo has a fairly large living room with a wood-burning fireplace. The kitchen is small and has not been updated. There is a park directly across the road as well as restaurants and a modern food court within a block.",unknown,1,unknown,large,living room; unknown,private,"bus, store, recreation centre/pool, school",park across the road; modern food court within a block
1009,Immel House Room #2,"Our home is close to walking paths; coffee shop; grocery; schools and bus stop. You will be sharing the house with 2 other guests, myself and my spouse. Off-street parking. Shared bathroom and common areas.","Immel House Room #2. Our home is close to walking paths; coffee shop; grocery; schools and bus stop. You will be sharing the house with 2 other guests, myself and my spouse. Off-street parking. Shared bathroom and common areas.",4,unknown,unknown,unknown,"house, bathroom, common areas",shared,"walking paths, coffee shop, grocery, schools, bus stop",off-street parking
1010,Immel House Room #3,"Our home is close to walking paths; coffee shop; grocery; schools and bus stop. You will be sharing the house with 2 other guests, myself and my spouse. Off-street parking. Shared bathroom and common areas.","Immel House Room #3. Our home is close to walking paths; coffee shop; grocery; schools and bus stop. You will be sharing the house with 2 other guests, myself and my spouse. Off-street parking. Shared bathroom and common areas.",5,unknown,unknown,unknown,"house, bathroom, common areas",shared,"bus stop, coffee shop, grocery, schools",off-street parking
1016,Mariners Room,"Single room in a 5-bedroom Century home on well treed lot.You will share large common areas including dining, living and kitchen with the hosts. Shared laundry and upstairs recreation space also available. Fireplace, utilities, Wi-Fi and off street parking included. You can share in family meals and with cooking/cleanup chores as you wish. Become part of our family.","Mariners Room. Single room in a 5-bedroom Century home on well treed lot.You will share large common areas including dining, living and kitchen with the hosts. Shared laundry and upstairs recreation space also available. Fireplace, utilities, Wi-Fi and off street parking included. You can share in family meals and with cooking/cleanup chores as you wish. Become part of our family.",unknown,5,unknown,large,"dining, living, kitchen, laundry, upstairs recreation space",unknown,unknown,"fireplace, utilities, Wi-Fi, off street parking"
1050,Condo by Gateway Station,"Two-bedroom highrise across the street from Gateway Skytrain Station (very accessible to SFU Surrey and the transit line) and walking distance from the Chuck Bailey Recreation Centre, BC Lions training facility, and the newly developing Whalley Legion Headquarters. Walking distance to Nesters Market, Shoppers Drug Mart, and other groceries.

Great number of amenities and work/recreational room spaces that can be reserved within the building (sauna, hot tub, workout room, recreation room).

Very secure building with FOB only access throughout and security cameras. 

The bathroom in the guest's room will have a shared shower that will be used between the host and the guest. Otherwise, there is a half bathroom that will be exclusively used by the host. 

Also, there is currently cable but no internet, which can be later discussed between us.","Condo by Gateway Station. Two-bedroom highrise across the street from Gateway Skytrain Station (very accessible to SFU Surrey and the transit line) and walking distance from the Chuck Bailey Recreation Centre, BC Lions training facility, and the newly developing Whalley Legion Headquarters. Walking distance to Nesters Market, Shoppers Drug Mart, and other groceries.

Great number of amenities and work/recreational room spaces that can be reserved within the building (sauna, hot tub, workout room, recreation room).

Very secure building with FOB only access throughout and security cameras. 

The bathroom in the guest's room will have a shared shower that will be used between the host and the guest. Otherwise, there is a half bathroom that will be exclusively used by the host. 

Also, there is currently cable but no internet, which can be later discussed between us.",unknown,2,unknown,large,"sauna, hot tub, workout room, recreation room",private; shared,"bus, store, recreation centre/pool, school",FOB only access throughout and security cameras
1052,"Walk to Pandosy Village, Kelowna General Hospital, Bike or walk to Okanagan College, Bus to UBC (2)","Large west facing furnished bedroom, plus a sitting or study room and a private bath,. Internet, Laundry, Street parking with parking pass, Desk, Mini fridge.   Ideal if proximity to Okanagan College, Pandosy Village, or KGH is important.  A quick walk or bike ride gets you to KGH and Okanagan College, Groceries, Restaurants, shopping and medical services.  On the Bus route to UBC.  Bedroom has a Queen size bed, large closet, end tables and plenty of storage. The adjoining study room has a couch, work desk, fridge and microwave and another closet.  Private bath is tub/shower, basin, toilet, storage. This room works perfectly for Okangan College and UBC KGH students and anybody needing to attend the cancer clinic.  So close to Pandosy village - a 14 min walk.","Walk to Pandosy Village, Kelowna General Hospital, Bike or walk to Okanagan College, Bus to UBC (2). Large west facing furnished bedroom, plus a sitting or study room and a private bath,. Internet, Laundry, Street parking with parking pass, Desk, Mini fridge.   Ideal if proximity to Okanagan College, Pandosy Village, or KGH is important.  A quick walk or bike ride gets you to KGH and Okanagan College, Groceries, Restaurants, shopping and medical services.  On the Bus route to UBC.  Bedroom has a Queen size bed, large closet, end tables and plenty of storage. The adjoining study room has a couch, work desk, fridge and microwave and another closet.  Private bath is tub/shower, basin, toilet, storage. This room works perfectly for Okangan College and UBC KGH students and anybody needing to attend the cancer clinic.  So close to Pandosy village - a 14 min walk.",2,1,unknown,large,"Internet, Laundry, Street parking with parking pass",private,"bus, store, recreation centre/pool, school and university","desk, mini fridge, study room"
1059,"Clean, bright and private room and bathroom, separate from family's sleeping quarters..","Located on a cul-de-sac, this open-concept bungalow comes with an amazing view! Large covered deck for relaxing and outdoor dining. Well-equipped kitchen. Full access to basement / tv with space to set up a desk if needed.","Clean, bright and private room and bathroom, separate from family's sleeping quarters... Located on a cul-de-sac, this open-concept bungalow comes with an amazing view! Large covered deck for relaxing and outdoor dining. Well-equipped kitchen. Full access to basement / tv with space to set up a desk if needed.",unknown,1,unknown,large,unknown,private,unknown,"large covered deck, well-equipped kitchen, access to basement, tv"
1064,private bedroom/ bathroom close to KLO campus,"Short term rental.      I live in a 45+ community and all renters would need to be 45+.

Close to KLO campus, single level rancher/ Private bedroom. bathroom, shared kitchen and living space. good wifi. Friendly mature host. looking for similar","private bedroom/ bathroom close to KLO campus. Short term rental.      I live in a 45+ community and all renters would need to be 45+.

Close to KLO campus, single level rancher/ Private bedroom. bathroom, shared kitchen and living space. good wifi. Friendly mature host. looking for similar",unknown,1,unknown,unknown,"kitchen, living space",private,KLO campus,unknown
1065,Lower level space for individual or couple/friends,"2 bedrooms or 1 can be used as an office for office, private bathroom, open seating area with a couch & TV, shared kitchen, furnished. Beautiful Parkland community! We've got huge backyard with a deck and private park across the street.   Close to amenities & shopping.  Bus stop across the street! 

Microwave, toaster, coffee machine downstairs, with access to the main kitchen upstairs.

Space can be used by one person, or a couple/friends can share the space.","Lower level space for individual or couple/friends. 2 bedrooms or 1 can be used as an office for office, private bathroom, open seating area with a couch & TV, shared kitchen, furnished. Beautiful Parkland community! We've got huge backyard with a deck and private park across the street.   Close to amenities & shopping.  Bus stop across the street! 

Microwave, toaster, coffee machine downstairs, with access to the main kitchen upstairs.

Space can be used by one person, or a couple/friends can share the space.",2,2,unknown,unknown,"open seating area, kitchen, unknown",private,"bus, store, unknown","huge backyard with a deck, private park across the street, microwave, toaster, coffee machine"
1069,Clean bedroom,Apartment to share,Clean bedroom. Apartment to share,unknown,1,unknown,unknown,apartment,unknown,unknown,clean bedroom
1078,Large bedroom can fit a king size bed. With your own bathroom.,Home is large and bright.  You’ll be on a different level than my own bedroom.  The the kitchen and family room we share.  I have a hot tub and pool for your use.  And I have a level two charger in my garage if you have an EV car.  And if you love pets I have an abundance of them.  Laundry is in the basement.  I like my space but I’d love to chat and get to know people.,Large bedroom can fit a king size bed. With your own bathroom.. Home is large and bright.  You’ll be on a different level than my own bedroom.  The the kitchen and family room we share.  I have a hot tub and pool for your use.  And I have a level two charger in my garage if you have an EV car.  And if you love pets I have an abundance of them.  Laundry is in the basement.  I like my space but I’d love to chat and get to know people.,unknown,1,true,large,"kitchen, family room",private,unknown,"hot tub, pool, level two charger for EV car"
1085,Furnished bedroom in a family setting in central Rutland. (2),"House located on a bus route just outside the house for pick up and return to Okanagan College, UBCO, a mall for shopping and downtown Kelowna. Walking distance to a grocery store and coffee shops.  We have a beautiful back yard with fruits and vegetables that we grow and a yard to relax in. You will have half a fridge to share with me and your own cupboard space for your groceries. You will also have access to the washer and dryer for your clothes.  A tv with cable and a desk will be provided if you request either one.","Furnished bedroom in a family setting in central Rutland. (2). House located on a bus route just outside the house for pick up and return to Okanagan College, UBCO, a mall for shopping and downtown Kelowna. Walking distance to a grocery store and coffee shops.  We have a beautiful back yard with fruits and vegetables that we grow and a yard to relax in. You will have half a fridge to share with me and your own cupboard space for your groceries. You will also have access to the washer and dryer for your clothes.  A tv with cable and a desk will be provided if you request either one.",2,unknown,unknown,unknown,"central Rutland, house, bus route, Okanagan College, UBCO, mall for shopping, downtown Kelowna, walking distance to a grocery store and coffee shops, beautiful back yard",unknown,"bus, store, recreation centre/pool, school (Okanagan College, UBCO), university (UBCO)","furnished bedroom, half a fridge to share, own cupboard space for groceries, access to washer and dryer, tv with cable, desk if requested"
1092,Private Bedroom / Bathroom in Lake Country,"House is located in a quiet neighbourhood in Lake Country. Quick access to Glenmore Rd / Hwy 97

Room is located in the partial basement - Private bedroom and a large private bathroom steps away 
Shared kitchen. - With your own side for personal cupboard space
Shared laundry - with a cupboard with your personal laundry needs 
There is a 20 x 20 area (no windows) personal space for a livingroom / flex room","Private Bedroom / Bathroom in Lake Country. House is located in a quiet neighbourhood in Lake Country. Quick access to Glenmore Rd / Hwy 97

Room is located in the partial basement - Private bedroom and a large private bathroom steps away 
Shared kitchen. - With your own side for personal cupboard space
Shared laundry - with a cupboard with your personal laundry needs 
There is a 20 x 20 area (no windows) personal space for a livingroom / flex room",unknown,1,unknown,medium,"kitchen, laundry",private,unknown,20 x 20 area (no windows) personal space for a livingroom / flex room
1097,Furnished bedroom Private Bathroom,"Furnished 2 bedroom 2 bathroom condo. Renting 1 bedroom/bathroom. You’re own parking stall. Laundry in suite. Shared kitchen, living room, dining room, storage room. Enclosed balcony. Utilities cable internet included.","Furnished bedroom Private Bathroom. Furnished 2 bedroom 2 bathroom condo. Renting 1 bedroom/bathroom. You’re own parking stall. Laundry in suite. Shared kitchen, living room, dining room, storage room. Enclosed balcony. Utilities cable internet included.",1,2,unknown,unknown,"kitchen, living room, dining room, storage room",private,unknown,"enclosed balcony, laundry in suite, own parking stall"
1107,fully furnished spacious and bright room,"shared  kitchen,
shared bathroom with one person
free laundry
free wifi
guess has the family room to hang out downstairs with other roommates
use of the backyard and deck during summertime
guess has a designated parking spot
house is connected  to alarm security","fully furnished spacious and bright room. shared  kitchen,
shared bathroom with one person
free laundry
free wifi
guess has the family room to hang out downstairs with other roommates
use of the backyard and deck during summertime
guess has a designated parking spot
house is connected  to alarm security",unknown,unknown,unknown,large,"kitchen, bathroom, family room",shared,unknown,"free laundry, free wifi, use of backyard and deck during summertime, designated parking spot, connected to alarm security"
1114,Room for rent in upper mission home,4 bedroom home in upper mission location.,Room for rent in upper mission home. 4 bedroom home in upper mission location.,unknown,4,unknown,unknown,unknown,unknown,unknown,unknown
1121,Unfurnished Room,"Walkout bungalow located near the River valley.  You will have your own bathroom, kitchenette with small appliances and media room.  There is parking on the driveway.  You will also have access to the full kitchen with gas range, dishwasher and laundry upstairs.","Unfurnished Room. Walkout bungalow located near the River valley.  You will have your own bathroom, kitchenette with small appliances and media room.  There is parking on the driveway.  You will also have access to the full kitchen with gas range, dishwasher and laundry upstairs.",unknown,1,unknown,large,"media room, unknown",private,River valley,"kitchenette, walkout bungalow, parking on driveway; full kitchen with gas range, dishwasher and laundry upstairs"
1135,Bright clean bedroom,3rd floor of apartment building. It is located on a busy street.,Bright clean bedroom. 3rd floor of apartment building. It is located on a busy street.,unknown,1,unknown,unknown,unknown,unknown,"bus, store",unknown
1141,Room rental nestled away in the peaceful Dilworth mountainside,"Looking to rent a room in my 2 bed 2 bathroom condo
Shared kitchen, laundry and living room.
You will have your own private bathroom.

Looking for a long-term tenant.
Underground Parking Available -  vehicle for this location is a must !
Minimalist lifestyle

Not Furnished

Free Wifi

Large Sunny deck
Great hiking trails 
Amazing view
Peaceful and serene","Room rental nestled away in the peaceful Dilworth mountainside. Looking to rent a room in my 2 bed 2 bathroom condo
Shared kitchen, laundry and living room.
You will have your own private bathroom.

Looking for a long-term tenant.
Underground Parking Available -  vehicle for this location is a must !
Minimalist lifestyle

Not Furnished

Free Wifi

Large Sunny deck
Great hiking trails 
Amazing view
Peaceful and serene",unknown,2,unknown,large,"kitchen, laundry, living room",private,unknown,Underground Parking Available; Minimalist lifestyle; Large Sunny deck; Great hiking trails; Amazing view
1142,Room in House for Student,"Close to SFU and Douglas College, close to skytrain
Shared house with myself and my granddaughter
Desk and bed ready for move in
Parking spot available","Room in House for Student. Close to SFU and Douglas College, close to skytrain
Shared house with myself and my granddaughter
Desk and bed ready for move in
Parking spot available",2,unknown,unknown,unknown,"Yes, shared house with owner and granddaughter",unknown,"bus, store",Parking spot available
1150,Room 1: Fully Furnished,"Available is a fully furnished bedroom, furnished living and dining area, kitchen and full bathroom. 
Room 1 and Room 2 share the basement area.
Room dimensions: 14 X 10","Room 1: Fully Furnished. Available is a fully furnished bedroom, furnished living and dining area, kitchen and full bathroom. 
Room 1 and Room 2 share the basement area.
Room dimensions: 14 X 10",unknown,1,unknown,medium,basement area,private,unknown,fully furnished
1154,Room to get Ahead,"Beautiful spacious condo on the water.
The bathroom is right beside your room 
There is amazing lighting and windows in the room.
Transit right outside the building","Room to get Ahead. Beautiful spacious condo on the water.
The bathroom is right beside your room 
There is amazing lighting and windows in the room.
Transit right outside the building",unknown,1,unknown,large,unknown,private,"transit, unknown","spacious condo, amazing lighting and windows"
1156,Room 2: Fully Furnished,"Available is a fully furnished bedroom, furnished living and dining area,  full kitchen and full bathroom with separate entry. 
Room 1 and Room 2 share the basement area.
Room 2 size: 15 x 12","Room 2: Fully Furnished. Available is a fully furnished bedroom, furnished living and dining area,  full kitchen and full bathroom with separate entry. 
Room 1 and Room 2 share the basement area.
Room 2 size: 15 x 12",unknown,2,unknown,medium,basement area,private,unknown,"fully furnished, full kitchen, full bathroom with separate entry"
1169,lakeview bedroom in Summerland,"Furnished bedroom and private bathroom.  Quiet home shared with a senior. 

Lots of off street parking. Close to lake . 
20 minute walk to public transit .","lakeview bedroom in Summerland. Furnished bedroom and private bathroom.  Quiet home shared with a senior. 

Lots of off street parking. Close to lake . 
20 minute walk to public transit .",1,1,unknown,unknown,a senior,private,"lake, public transit",off street parking
1174,Room 1: Fully Furnished,"Available is a fully furnished bedroom, furnished living and dining area, kitchen and full bathroom. 
Room 1 and Room 2 share the basement area.
Room dimensions: 14 X 10","Room 1: Fully Furnished. Available is a fully furnished bedroom, furnished living and dining area, kitchen and full bathroom. 
Room 1 and Room 2 share the basement area.
Room dimensions: 14 X 10",unknown,1,unknown,unknown,"basement area, living and dining area; unknown if others are shared",private,unknown,fully furnished
1182,Spare room in 2 bedroom condo,"Queen bed in spare room w side table dresser and tv 
Bathroom is semi private 
Shared kitchen laundry and main living area 
Big patio 
Move in ready","Spare room in 2 bedroom condo. Queen bed in spare room w side table dresser and tv 
Bathroom is semi private 
Shared kitchen laundry and main living area 
Big patio 
Move in ready",2,2,unknown,unknown,"kitchen, laundry, main living area",semi private,unknown,big patio; move in ready
