ID,Property Title,Description,City,Province,Postal Code,Number Of People,Number Of Pets,Bathroom Occupants,Price,Utilities Fees,Total,Available From,Status,Property Type,Property Size,Space Type,Host Prefers,Facilities,Household Items,Occupants,Furnishing Level,Furnishings,Bed Type,Safety Features,Amenities,House Rules,Shared Spaces,Bathroom Type,City_clean
947,Clean furnish bedroom with private or shared bathroom,,Surrey,BC,V3S 2T3,,,1,836.0,114.0,1026.0,2022-01-01,deleted,House,,,,,,,,"['Bedding', 'Towels', 'Pillows', 'Television', 'Closet', 'Drawers']",Twin bed,"['Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Tv', 'Fenced yard', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Surrey
948,One bedroom with shared bathroom in a 5bedroom house,"Home is built in 2003 and well kept and clean. Each bedroom will be rented to female guests with similar restrictions.  Shared kitchen, living room, dining room, and laundry. Owners of the home live immediately next door.  There is no parking available.  Pets are not allowed.",Surrey,BC,V3X 3R4,,,1,880.0,120.0,1080.0,2022-04-02,deleted,House,,,,"['Common lounge', 'Onsite management']",,,,"['Closet', 'Drawers']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Door lock']","['Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Window covering', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', ""Policy on visitor's stay""]",,,Surrey
949,Single occupant room,"Townhouse with living room, kitchen, basement and three bedrooms. Rental room provided with a bed, closet and side table.",Toronto,ON,M1M 1R8,,,1,616.0,84.0,756.0,2022-01-15,deleted,Townhouse,,,,,,,,"['Desk', 'Closet']",Single bed,"['Smoke Detector', 'Carbon Monoxide Detector']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Window covering']","['No smoking', 'No alcohol', 'Keep spaces clean', 'Notice on visitors']",,,Toronto
950,Medium size bedroom furnished in townhouse quiet neighborhood,"furnished Medium size bedroom with with owner with a small dog. Shared bathroom. Weekend cook only . BC hydro bill share 30% ,other  Utilities is included. The owner has a small dog. Dog lover is prefer.",Richmond,BC,V7C 4T7,,,1,660.0,90.0,810.0,2022-01-01,draft,Townhouse,,,,,"['Pantry Items', 'Laundry Detergent']",,,"['Bedding', 'Blankets', 'Pillows', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Smoke Detector', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Window covering', 'Blow dryer']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Richmond
951,1 bedroom 1 Den Parking Fibre fast WiFi Hottub Gym  downtown Vancouver,"One Bedroom one small bedroom  modern apartment downtown. Den room can be office or small bedroom with a single size sofa bed. New mable upgrade bathroom. Roger arena , Skytrain, Coffee shops, restaurant, grocery,are just door step. Fully Kitchenware, nearby to Gastown, seawall. The price is for Max two guests , one queen bed. the price is all included : utilities, secured parking, Gym, Hottub Sauna room , in-suite laundry",Vancouver,BC,V6B 6N7,,,1,3080.0,420.0,3780.0,2022-01-01,draft,Apartment,,,,"['Gym', 'Swimming pool', 'Shared hot tub', 'Sauna', 'Onsite management', 'Elevator']",,,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Single bed,['Smoke Detector'],"['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Tv', 'Swimming pool', 'Window covering', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours']",,,Vancouver
953,Separate bedroom !,"Close to downtown , bus stop directly across from house! Forrest lawn area close to capilano mall , close to freeways/ Sherwood park , close to river !",Edmonton,AB,T6A 3H2,,,1,396.0,54.0,486.0,2022-01-13,draft,House,,,,,,,,['Closet'],,"['Smoke Detector', 'Carbon Monoxide Detector']","['Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware']","['No smoking', 'Quiet hours', 'Keep spaces clean', 'Scent free']",,,Edmonton
954,"Centrally Located , Clean & Comfortable","Clean, quiet, comfortable, self contained suite. Seperate entrance and bathroom, kitchenette, smart tv, wifi, internet, queen bed, single occupancy only, no guests, no pets., no parties, smoking outside please be respond for your butts, BBQ and private patio area, walking distance to hospital, groceries, downtown.",Grand Forks,BC,V0H 1H0,,,1,704.0,96.0,864.0,2022-01-17,draft,House,,,,['Onsite management'],"['Pantry Items', 'Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'Door lock', 'Security alarm']","['Free parking on site', 'Street parking', 'Fridge', 'Microwave', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware', 'Iron']","['No smoking', 'No shoes inside', ""Policy on visitor's stay""]",,,Grand Forks
955,Bedroom near downtown Calgary,This is a bedroom with a separate bathroom across the hallway in a condo in the Beltline Community near downtown Calgary.,Calgary,AB,T2R 0M2,,,1,880.0,120.0,1080.0,2022-03-01,deleted,Apartment,,,,['Elevator'],"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Queen bed,['Carbon Monoxide Detector'],"['Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean']",,,Calgary
956,"Clean, private, safe, newly renovated",Our house is located in a quiet culdusac just a few minutes walk from a major bus stop with good access to the city core.  We strive to give our guests as much or as little interaction as they like.  Our home provides a separate guest entrance with a bathroom and kitchen area shared with one other guest.  The guest bedrooms are located far from the upper bedroom levels so as to not interrupt your sleep/wake routine.,Calgary,AB,T3K 2B3,,,1,616.0,84.0,756.0,2022-01-15,draft,House,,,,"['Shared hot tub', 'Common lounge', 'Storage locker']","['Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Twin bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Calgary
957,Bedroom in Springvalley,Quiet home in a friendly Rutland neighbourhood.  5 minute walk to three bus stops.  Two feline roommates.  Large backyard with sunny deck. Wifi included.,Kelowna,BC,V1X 3W5,,,1,650.0,50.0,756.0,2022-11-01,draft,House,,,,,"['Pantry Items', 'Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors']",,,Kelowna
958,Private bedroom and shared bathroom and laundry (2),"Upper 3 bedroom suite in a 7 bedroom home.  The downstairs is rented out separately and my husband and I rent the upstairs portion of the home.  We do connect with our downstairs neighbours and have games nights and visit sometimes. 

My husband and I are a newly married couple in our early 30s.  My husband works for Kelowna Ready Mix as a concrete mixer driver and crane operator and I contract work and study at Okanagan College.  We enjoy the outdoors and community.  Our home typically has some kind of company over at least once a week at the moment enjoying games, my husbands cooking or just visiting.  My husband really enjoys cooking meat treats and other goodies on his Traeger BBQ smoker.

There are bus stops, Okanagan College, Kelowna General Hospital, grocery shopping, beach and restaurants within walking distance of our rental.  Our landlords are very kind and laid back and we have a good relationship with them.  The home has parking, a large shared back yard, shared laundry, large shared kitchen and private bedroom and guest bedroom for our friends and family when/if they visit.  The downstairs unit only shares the back yard and internet with us.

We are looking for someone good with people being around and is okay being independent.  My husband and I have fairly active and busy lives.  Introverts work great too as your room will always be your private space.

This room is only available Jan 1 to May 1, 2022.  We are looking to extend our lease with our landlords and if they allows the extension then we would be open to a guest extension to May 31.  We will not know this until the new year.

Roommates are responsible for their own groceries, laundry detergent and extras.

Roommates will be responsible to helping clean the shared space.  We can discuss what this would look like as well as other details in a phone interview if this looks like it could be a good host/guest match.",Kelowna,BC,V1Y 5C1,,,1,682.0,93.0,837.0,2022-01-04,draft,House,,,,,"['Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet']",Single bed,['Smoke Detector'],"['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Tv', 'Window covering', 'Kitchenware']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
959,Bedroom and bathroom in condo near downtown Calgary,"I live in an apartment style condo in the Beltline community in Calgary, very close to downtown as well as 4st SW and 17th Ave SW.. I'm renting out the spare bedroom as well as exclusive use of one of the bathrooms. The condo has a fairly large living room with a wood-burning fireplace. The kitchen is small and has not been updated. There is a park directly across the road as well as restaurants and a modern food court within a block.",Calgary,AB,T2R 0M2,,,1,748.0,102.0,918.0,2022-02-01,draft,Apartment,,,,"['Wheelchair accessible', 'Elevator']","['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Lamp', 'Fridge']",Queen bed,['Smoke Detector'],"['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'Window covering', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', ""Policy on visitor's stay""]",,,Calgary
961,,,,,,,,1,660.0,90.0,810.0,2022-01-04,deleted,Other,,,,,,,,,,,,,,,
962,Comfortable bedroom with a small family,3 bedroom townhouse in Collingwood Ontario,Collingwood,ON,L9Y 1M5,,,1,682.0,93.0,837.0,2022-03-01,deleted,Townhouse,,,,,"['Condiments', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Television', 'Closet', 'Drawers']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Tv', 'Window covering', 'Private entry', 'Kitchenware', 'Iron']","['No smoking', 'No alcohol', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Collingwood
963,"Clean bedroom with everything including all nternet , cable and home phone ,",,Saint John,NB,E2K 2R2,,,1,418.0,57.0,513.0,2022-01-06,draft,Apartment,,,,['Storage locker'],"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Fire Extinguisher', 'Smoke Detector']","['Free parking on site', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Cable / Satellite', 'Window covering', 'Private entry', 'Kitchenware', 'Iron']",['Keep spaces clean'],,,Saint John
965,,,,,,,,1,616.0,84.0,756.0,2022-01-15,deleted,Other,,,,,,,,,,,,,,,
966,Clean bedroom with a dresser and a desk. Bright sunshine in the afternoon.,"Beautiful Mountain and ocean view home.   3200’Large Kitchen dining 5bedrooms, office, 3bath , media room. 2decks, 2 outdoor patios.",Campbell River,BC,V9H 1V2,,,1,880.0,120.0,1080.0,2022-01-18,deleted,House,,,,,['Toilet Paper'],,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Campbell River
967,A clean room with double bed.. and computer table and chair..,It's a townhouse with 4 bedroom. 3 washroom. Open kitchen newly renovated .. Centralized Heat and Ac..,Toronto,ON,M1E 4E4,,,1,528.0,72.0,648.0,2022-01-10,draft,Townhouse,,,,,"['Pantry Items', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Smoke Detector', 'Carbon Monoxide Detector']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Kitchenware', 'Iron']","['No smoking', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors']",,,Toronto
968,Clean room with a family,"Beautiful room in a walkout basement, you will  have your own private bathroom, and a kitchenette with small fridge, coffee maker and microwave. Full  kitchen and  Laundry are shared. All utilities are included.",Calgary,AB,T2X 3M4,,,1,546.0,74.0,669.6,2022-01-15,draft,House,,,,,['Condiments'],,,"['Bedding', 'Blankets', 'Pillows', 'Desk', 'Television', 'Closet', 'Drawers', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Fenced yard', 'Private entry', 'Kitchenware', 'Iron']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors']",,,Calgary
969,"Clean, cozy bedroom in a family townhouse",Townhouse in quite area near to everything. Bus stop few meters. Easy access to downtown.,Ottawa,ON,K1J ,,,1,581.0,79.0,712.8,2022-01-15,deleted,Townhouse,,,,,,,,"['Bedding', 'Blankets', 'Pillows', 'Hangers', 'Television', 'Closet', 'Drawers']",Queen bed,"['Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors']",,,Ottawa
970,Fully furnished Master bedroom in a quiet home for a single female person,"My husband and I are a retired, empty-nester couple.  We are offering a fully furnished private rental unit. 
 A fully furnished locked master bedroom with 4 piece private ensuite.  A perfect place for a single student or a single professional.  Our home is clean, cozy, safe and secure. quiet, family home for a single female Guest.  
 You will have use of a small fridge, cupboard for their food, a kettle, coffeepot, microwave, and toaster oven.  Dishes, glasses and cutlery.  Free Wifi. All utilities are included in the rental price.  Shared use of stove, washer and dryer with the landlord. We are located close to Crowfoot LRT, Bus stop.",Calgary,AB,T3G 4L9,,,1,900.0,0.0,972.0,2022-10-01,listed,House,,,,,,,,"['Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'Door lock', 'Security alarm']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware', 'Iron']","['No smoking', 'No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Calgary
971,"Clean Bedroom with bed   desk, television and internet access.","Pretty new house well kept in a prestigious neighbourhood. Close to public transport, grocery stores, shopping centres , universities and colleges snd high schools. Access to pool and outside facilities barbecue , deck etc.
Option of food could  e included.
Very quiet neighbourhood. Very close to the main street and city of Laval.",Laval,QC,H7P 0B2,,,1,1056.0,144.0,1296.0,2022-02-01,deleted,House,,,,"['Gym', 'Swimming pool']","['Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Security alarm']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Swimming pool', 'Window covering', 'Fenced yard', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Laval
972,,,,,,,,1,704.0,96.0,864.0,2022-01-24,deleted,Other,,,,,,,,,,,,,,,
973,Master bedroom for rent,"Walk-in closet
Separate bathroom with sink
Recently renovated
Ready to be rented any time 
Near the Go and city transit 
Quiet",Mississauga,ON,60 ,,,1,1144.0,156.0,1404.0,2022-01-14,draft,Townhouse,,,,['Swimming pool'],['Dish Detergent'],,,"['Bedding', 'Blankets', 'Towels', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Air conditioner', 'wifi', 'Tv', 'Swimming pool', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Mississauga
974,Room B - furnished,"Beautiful room in newer quiet home.
Minutes to bus or 1 parking spot 
Home is smoke /pet free 
Utilities, WiFi included 
Fenced in quiet relaxing  backyard with mature trees and flowers.
Room is furnished",Edmonton,AB,T6X 1N9,,,1,484.0,66.0,594.0,2022-05-31,listed,House,,,,['Onsite management'],"['Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp', 'Fridge']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'No alcohol', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Edmonton
975,Your room,"Quiet Home located in a newer subdivision 
Utilities, WiFi, laundry included 
Bathroom maybe shared with 1 other person but presently private 
I have 1 room furnished and other unfurnished 
Backyard walkout onto deck
Smoke/pet free home 
Parking for 1 car
Minutes to bus stop 
Minutes to all amenities 
Part of private community lake to go swimming, small boating, tanning or just to walk around",Edmonton,AB,T6X 1N9,,,1,484.0,66.0,594.0,2022-02-14,deleted,House,,,,,"['Condiments', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'No alcohol', 'Quiet hours', 'Keep spaces clean', ""Policy on visitor's stay""]",,,Edmonton
976,Room A - furnished,"Quiet smoke/ pet free home located in a newer subdivision 
Utilities included
1 parking spot or minutes to bus stop
Close to amenities 
Fenced in backyard with deck off kitchen, mature trees and flowers.",Edmonton,AB,T6X 1N9,,,1,484.0,66.0,594.0,2022-02-01,listed,House,,,,,"['Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Lamp']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Edmonton
978,,,,,,,,1,528.0,72.0,648.0,2022-02-01,deleted,Other,,,,,,,,,,,,,,,
979,Spacious basement room with private bathroom,"Our house is a modern, clean 3 bed townhouse with street and driveway parking available. We have a furnished basement room with private bathroom. We have extra refrigerator and lots of space in the house.",Hamilton,ON,L9G 4Z1,,,1,880.0,120.0,1080.0,2022-02-01,deleted,Townhouse,,,,,"['Condiments', 'Dish Detergent']",,,"['Bedding', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Tv', 'Window covering', 'Private entry', 'Blow dryer', 'Kitchenware']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Hamilton
981,Professional finished 2  bedroom basement,Clean 2 bedroom basement with private custom bathroom. Does not have private entrance and the kitchen would be shared with me. Located in a beautiful quiet area of caledon. Quiet private people only.,Bolton,ON,L7E 2G9,,,1,837.0,114.0,1027.08,2022-02-01,deleted,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent']",,,"['Hangers', 'Closet']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Bolton
982,Brand New Bedroom with New Appliances in Carrington NW Area,"Get amazed by modern out look of this artistic suite! Best schools and shopping plazas nearby. Steps away from children’s parks and ponds. 2 good-sized bedrooms, and 1 full bath with separate entrance. Features include spacious eat-in kitchen w/ granite countertop, wooden floors, brand new appliances, dual sinks in bathroom and kitchen area, along with laundry and storage room, with ample parking.",Calgary,AB,T3P 1N6,,,1,616.0,84.0,756.0,2022-01-21,listed,Suite,,,,,['Laundry Detergent'],,,"['Desk', 'Closet']",,"['Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Washer', 'Dryer', 'wifi', 'Window covering', 'Fenced yard', 'Private entry']","['No smoking', 'No alcohol', 'Notice on visitors', ""Policy on visitor's stay""]",,,Calgary
984,Private Bedroom,"I have a one bedroom unit
The bedrom is urs
I live in living room",Vancouver,BC,V5K 2Z5,,,1,660.0,90.0,810.0,2022-01-17,draft,Suite,,,,,['Toilet Paper'],,,['Closet'],,['Smoke Detector'],"['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Tv', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'Notice on visitors']",,,Vancouver
985,Room for rent in shared condo,,West Kelowna,BC,V4T 3E8,,,1,748.0,102.0,918.0,2022-02-01,deleted,Apartment,,,,"['Wheelchair accessible', 'Swimming pool', 'Shared hot tub', 'Storage locker', 'Elevator']","['Pantry Items', 'Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet']",Queen bed,"['Smoke Detector', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Kitchenware']","['No smoking', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors']",,,West Kelowna
986,,,,,,,,1,616.0,84.0,756.0,2022-02-01,deleted,Other,,,,,,,,,,,,,,,
988,Large Bedroom,"4 Bedroom Home in Maitland Estates.  Great Neighbourhood, Family Friendly.  Great Neighbours too.  Half-Acre lot, Above-Ground Swimming Pool.  Great for walks, bicycles.  10 minutes from Brockville Ontario.  100 km from Ottawa Ontario.  Close to St. Lawrence Islands.

Bedroom is 14' x 11'6"".  2.5 Bedrooms.  2 piece bathroom on same floor, full bath upstairs.  Pretty much only for tenant.",Maitland,ON,K0E 1P0,,,1,880.0,120.0,1080.0,2022-02-01,deleted,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Tv', 'Swimming pool', 'Window covering', 'Kitchenware', 'Iron']","['No smoking', 'Notice on visitors']",,,Maitland
989,1 Clean bad room,2 bad room share kitchen and bathroom and livingroom,Calgary,AB,1 ,,,1,1232.0,168.0,1512.0,2022-01-17,listed,Apartment,,,,['Elevator'],"['Pantry Items', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Free parking on site', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'No alcohol', 'Keep spaces clean', 'Scent free']",,,Calgary
